instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.028,1.861,0.077,2.669,1.5,2.864,518.7
medium10,0.038,1.832,0.069,2.471,2.7,10.904,664.3
medium2,0.028,1.827,0.073,2.276,2.5,14.711,568.0
medium3,0.033,1.968,0.064,2.377,2.1,3.494,591.015
medium4,0.035,1.816,0.075,2.894,2.1,6.762,672.9
medium5,0.041,1.783,0.084,2.681,1.4,2.562,600.3
medium6,0.038,1.838,0.063,2.138,1.1,1.025,566.3
medium7,0.031,1.863,0.084,2.402,3.1,7.461,608.503
medium8,0.025,1.81,0.096,2.171,3.5,6.117,602.9
medium9,0.037,1.823,0.084,2.185,2.4,4.182,679.901
small1,0.011,2.36,0.014,0.225,1.8,22.316,140.8
small10,0.005,2.533,0.014,0.241,1.1,1.722,125.0
small11,0.007,2.397,0.01,0.221,2.3,20.984,213.1
small12,0.005,2.684,0.012,0.207,3.1,20.327,149.7
small13,0.005,2.518,0.01,0.293,2.0,27.259,201.8
small14,0.013,2.861,0.011,0.228,2.1,6.641,167.805
small15,0.01,1.874,0.012,0.214,1.2,0.951,133.8
small16,0.01,2.797,0.014,0.229,1.3,1.681,184.1
small17,0.007,2.758,0.014,0.202,2.1,3.079,270.842
small18,0.008,2.89,0.01,0.197,1.2,1.144,188.6
small19,0.008,2.328,0.014,0.251,1.0,0.0,60.7
small2,0.008,3.024,0.008,0.216,1.6,1.785,210.3
small20,0.014,2.381,0.01,0.209,1.4,5.943,144.8
small3,0.013,3.043,0.011,0.209,1.5,11.289,118.3
small4,0.008,2.372,0.013,0.206,1.7,27.904,102.8
small5,0.008,2.842,0.01,0.203,2.4,8.434,202.4
small6,0.005,2.441,0.015,0.209,2.0,30.993,141.5
small7,0.006,3.336,0.007,0.233,1.5,6.914,157.2
small8,0.005,2.022,0.011,0.217,1.0,0.0,106.5
small9,0.007,2.79,0.009,0.201,1.6,2.382,231.0
verySmall1,0.004,0.313,0.005,0.052,1.0,0.0,10.0
