instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.002,0.193,0.041,12.686,1.0,0.0,690.4
medium10,0.002,0.05,0.009,2.607,1.8,2.007,1134.641
medium2,0.002,0.051,0.006,2.294,1.2,0.223,777.416
medium3,0.001,0.044,0.004,2.362,1.2,0.441,1016.06
medium4,0.001,0.043,0.009,2.921,1.4,0.866,1125.824
medium5,0.001,0.043,0.008,2.658,1.6,6.461,781.006
medium6,0.001,0.045,0.004,2.119,2.2,4.434,1044.608
medium7,0.002,0.044,0.005,2.402,2.6,4.118,1018.227
medium8,0.001,0.046,0.01,2.156,1.4,0.582,825.008
medium9,0.001,0.045,0.008,2.155,2.0,1.495,962.448
small1,0.0,0.071,0.001,0.219,1.0,0.0,181.803
small10,0.002,0.045,0.001,0.232,1.6,5.478,263.833
small11,0.0,0.041,0.001,0.208,1.4,3.044,399.411
small12,0.0,0.029,0.001,0.201,1.2,2.69,244.687
small13,0.0,0.056,0.001,0.298,2.0,26.96,239.622
small14,0.0,0.018,0.001,0.22,2.0,13.974,262.422
small15,0.0,0.012,0.002,0.211,1.0,0.0,176.8
small16,0.0,0.02,0.001,0.226,1.2,0.438,232.625
small17,0.0,0.028,0.003,0.208,1.4,0.295,449.311
small18,0.0,0.041,0.001,0.192,1.2,1.222,346.2
small19,0.0,0.018,0.001,0.245,1.4,29.705,107.6
small2,0.0,0.042,0.001,0.212,1.8,23.856,235.805
small20,0.0,0.028,0.001,0.213,1.2,28.444,280.201
small3,0.0,0.054,0.001,0.213,1.0,0.0,173.6
small4,0.0,0.032,0.001,0.201,1.6,1.736,253.6
small5,0.0,0.016,0.001,0.202,1.6,6.435,310.039
small6,0.0,0.014,0.001,0.208,1.2,5.156,231.104
small7,0.0,0.056,0.001,0.244,1.8,9.331,324.029
small8,0.0,0.018,0.001,0.216,1.0,0.0,172.4
small9,0.0,0.026,0.001,0.201,2.0,21.482,235.202
verySmall1,0.0,0.012,0.002,0.051,1.0,0.0,23.8
